Comment,Emotion
Saya merasa benar -benar tidak yakin dengan batasan atau normalitas apa pun,fear
Saya memikirkan atau merasa terima kasih saya memikirkan Bapa Surgawi yang Baik dan Murah,joy
Saya merasa benar -benar ditinggalkan dan agak tidak puas dengan segalanya,anger
Saya hanya mengatakan betapa menyesalnya saya dan baru saja keluar dari mobilnya dan masuk ke rumah saya dengan perasaan gelisah,fear
Saya merasa aneh dan merasa ingin tahu,fear
Saya memiliki perasaan putus asa yang luar biasa,fear
Saya merasa enggan menjual tapi hei,fear
Saya menyesap panjang dan merasakan sensasi dingin dari capp es,anger
Saya tidak merasa tertekan bahkan jika ini adalah balapan terpanjang dan yang paling saya harapkan dari,fear
Saya juga berharap Anda mengerti mengapa saya merasa sangat marah kepada Anda ketika Anda tidak mendukung aturan topi atau ketika Anda muncul di acara sekolah sendiri tanpa topi,anger
Saya ingat merasakan yang paling ketakutan yang pernah saya rasakan sepanjang hidup saya dan itu masih mempengaruhi saya sekarang tetapi saya tidak pernah berpikir itu bertanggung jawab atas trauma,fear
Saya harus mengakui perasaan saya padanya tetapi tetap saja saya tidak bisa membawa diri saya kepadanya karena saya takut kehilangan dia sekali lagi,fear
Saya jelas dipengaruhi oleh kebahagiaan dasbor Emily Dickinson misalnya dan saya menggunakan dasbor alih -alih titik dua atau semi titik dua untuk meningkatkan perasaan enjambment yang terburu -buru di soneta,anger
Saya berdoa agar mata yang membaca pikiran ini yang memahami ini dan hati yang merasa ini tidak akan tersinggung,anger
Saya tidak takut pergi sendiri tetapi saya merasa seperti banyak orang dalam kelompok dan sebagian dari diri saya merasa keren memiliki kelompok kecil untuk bergaul,joy
kemungkinan gagal dalam pemeriksaan,fear
Saya merasa sangat bersyukur berada di bagian negara di mana saya bisa berlatih di luar ruangan akhir setahun dan tidak harus menggabungkan atau memakai beberapa lapisan,joy
Saya merasa agak kesal juga pagi ini karena saya tidak tidur tadi malam dengan sengaja,anger
Saya merasa gempa bumi juga mengguncang fondasi hidup dan pekerjaan saya,fear
Saya mungkin bisa menciptakan perasaan ketika saya kembali ke kabut dingin yang menanti saya besok malam,anger
Saya terbangun dengan perasaan positif saya benar -benar ingin melakukan ini dan malam ini saya merasakan hal yang sama saya memiliki goyang pisang untuk sarapan cokelat goyang untuk makan malam dan daging panggang hari Minggu untuk minum teh,joy
Saya hanya akan pergi ke titik lurus daripada melakukan definasi seperti apa perasaan romansa atau perasaan kemarahan atau perasaan mencurigakan,fear
Saya merasa sangat menyebalkan dan kejam dan mengerikan,anger
Saya merasa iri bahwa mereka dapat menjaga pos mereka tetap teratur dan menarik dan berharap bahwa saya bisa merasakan hal ini,anger
Saya merasa seperti dia mencoba untuk tetap setia mungkin dengan apa yang dia anggap sebagai peristiwa nyata yang terjadi di gunung itu,joy
Saya merasa menyerang anak baru yang merengek,fear
ive memiliki jalan panjang yang awalnya terasa seperti saya bersikap kasar karena menolak makanan yang dibuat untuk saya dan kadang -kadang makan sesuatu karena bebas gluten dan tampak lezat bahkan jika mungkin bukan apa yang saya rasa senang makan beberapa orang yang sangat biasa -biasa saja kue pernikahan misalnya,anger
Saya ingin memastikan saya tidak merasa terburu -buru pergi ke Century College pada hari Jumat sore,anger
Saya akan menendang diri saya sendiri tetapi saya hanya merasa mudah tersinggung tanpa motivasi apa pun,anger
"Saya merasa jauh lebih produktif di perguruan tinggi dan untuk menjaga produktivitas tetap di peralatan penuh, sakit harus menorehkan beberapa ide untuk proyek seni musim panas ini melatih pasukan merpati serangan dan mengambil alih pulau kecil dan tidak berpenghuni",joy
Saya merasa bahwa ayah Anda sudah meyakinkannya tentang itu,joy
Saya merasa saya tidak terganggu dengan itu,anger
Saya bisa duduk di sini dan menyalahkan diri sendiri tentang semuanya tetapi saya merasa jauh untuk memberontak untuk itu hari ini pada dasarnya saya merasa marah pada dunia dan pada diri saya pada saat yang sama,anger
Aku benar -benar merasa menyebalkan dan kesal tentang hal itu,anger
Saya pergi ke kelas saya merasa sedikit khawatir tapi masih tidak ada keringat,fear
Saya merasa sangat salah tetapi apa yang bisa saya lakukan,anger
Saya merasa sangat aneh sehingga terasa seperti saya ingin mengutuk segalanya dan menggedor kepala saya ke dinding sehingga dunia saya akan kembali ke fokusnya,fear
Saya merasa curiga terhadap produk kecantikan pencegahan kerutan karena suatu alasan,fear
Saya merasa Anda merasa panik dan karenanya saya takut,fear
Saya merasa sangat pemarah hari ini,anger
Saya merasa bahwa saya telah mengenal para siswa dengan cukup baik dan saya berbicara dengan orang tua jika mereka mengantar siswa mereka untuk hari itu,joy
Saya tidak bisa membantu tetapi merasa curiga terhadap segalanya,fear
Saya katakan kami karena itu membuat semua perbedaan sebagai orang tua ketika Anda memiliki yang terbuka dan mudah untuk berbicara dengan guru yang benar -benar Anda rasakan sangat cocok untuk anak Anda,joy
Saya merasa sedikit takut pada Islam,fear
"Aku bersamanya, aku merasa hebat",joy
"Saya merasa rasa tidak aman ini adalah hal yang baik ketika saya pertama kali mulai menulis, saya membayangkan semuanya",joy
Saya bahkan memiliki perasaan yang dalam untuk Alaska dan tanah terbuka yang dingin dan bersalju dan besar dengan pohon -pohon pinus dan gunung tetapi saya ditakdirkan untuk tinggal di California Selatan,anger
Aku tidak merasa seperti dia pemalu seperti mengambil semuanya seperti yang digambarkan ibunya,fear
Saya merasa seperti setiap kali ada orang yang masuk ke ring bersamanya,fear
Saya merasa rewel dan kesal seperti budak rumah pada dasarnya hampir semua ibu yang saya kenal sangat bergantung pada ganja alkohol atau perceraian perpisahan untuk mendapatkan ruang dan kewarasan untuk diri mereka sendiri dari tanggung jawab ibu mereka,anger
"Aku menjadi gila, terima kasih Tuhan aku punya keinginan untuk buah -buahan dan cokelat itu membuatku keluar dalam kedinginan dengan angin kotor bertiup di leherku terasa gila dan marah dan jelek",anger
Saya tidak yakin bahwa itu semua membuat karena karena pembicaraan tidak pernah terasa tulus dalam pelaksanaannya dan mungkin tema -tema dalam hidup tampaknya besar untuk dipahami tetapi apa intinya ketika itu sudah terasa seperti lubang tanpa emosi yang mendambakan perhatian diri sendiri dengan keinginan diri yang mendambakan diri dengan keinginan diri yang mendambakan diri sendiri dengan keinginan diri yang mendambakan diri dengan keinginan diri yang mendambakan diri sendiri dengan keinginan diri yang mendambakan diri sendiri,joy
Saya mulai merasa khawatir ketika awan hujan hitam tebal menyerbu ke langit di atas kota,fear
Saya pikir mereka muncul begitu otomatis karena melihat foto -foto atau orang -orang itu membuat saya merasa tidak aman tentang diri saya sendiri,fear
Saya menutup pintu tetapi saya tidak merasa menang,joy
Aku bahkan bisa merasakan napas dingin di leherku berbisik hertha saat dia berlari jari -jarinya di sisi leher,anger
Saya merasa hidup memberi saya banyak perubahan untuk bersinar dan saya kesal di seluruh mereka,anger
Saya merasa pemarah bukan masalah wanita yang pemarah tapi lima tahun saya ingin mendapatkan cara saya agak pemarah Anda tidak berpikir ada perbedaan,anger
Saya merasa seperti saya kembali ke elemen saya dan sangat senang dikelilingi oleh pakaian kecil yang menggemaskan,joy
Saya tahu Anda merasa tersiksa membaca ini,anger
Saya merasa neraka menjadi favorit kasual jika biru atau merah adalah warna berat di meja kasual Anda jika tidak saya bisa melihatnya di deck turnamen sementara merah populer dan mungkin ketika biru melangkah di tempatnya satu blok Zendikar berputar keluar,joy
Saya pikir ini adalah keluhan yang valid bagi mereka yang tidak mau menghadapinya dengan aspek ini yang saya bayangkan akan agak subyektif tetapi memastikan bahwa momen berbasis penutup masih terasa berbahaya meskipun berada di perlindungan,anger
Saya merasa itu harus menjadi pilihan populer untuk melakukan perubahan yang dilakukan di tempat lain,joy
Saya merasa terganggu,anger
"Saya telah memperhatikan bahwa jika saya pergi tanpa keluar, saya mulai merasa kesal padanya atau mudah terganggu oleh hal -hal yang dia lakukan, saya merasakan sakit kecil di dalam diri saya yang hampir tidak terlihat beberapa hari pertama seolah -olah rambut kecil telah menggali jalannya ke kakiku ke kakiku ke kakiku",anger
Aku berkata tanpa emosi saat merasakan kecemasan ketakutan yang ketakutan di dadaku,fear
Saya mengerti bahwa salah satu atribut saya yang sangat positif dan ada beberapa yang dibayangi oleh kelemahan saya dan secara tidak sadar beberapa orang terhubung untuk merasa lebih unggul dari yang lain dan dengan demikian memperlakukan mereka secara berbeda,joy
Saya merasa sangat sulit untuk merasa santai selama lebih dari jam,joy
Saya hanya merasa pemarah dan sakit,anger
Saya hanya membuat asumsi berdasarkan apa yang saya lihat pikir merasa saya bertanya -tanya sebelumnya dengan hal -hal aneh,fear
Saya merasa motivasi Anda akan puas ketika Anda membaca tulisan ini juga yang mengerti,joy
"Saya berjalan di pintu ke rumah saya, saya merasa bahagia",joy
Saya merasa lebih ketakutan daripada pelanggan di labirin saya,fear
Saya menemukan email -email ini dari Scott Dale dan hanya membacanya sangat bersuara sehingga saya merasa perlu mempostingnya dan menunjukkan kepada dunia betapa anehnya neurotiknya dia,fear
"Saya telah mengabaikan perasaan orang -orang di sekitar saya, saya keras kepala",anger
Saya telah secara diam -diam mendengarkan musik X Mas sejak awal Oktober tetapi sekarang saya merasa seolah -olah sedikit lebih dapat diterima secara sosial untuk berjingkrak sementara versi Eartha Kitt dari Santa Baby Blares dari iPod saya,joy
Saya tidak merasa takut atau gugup seperti biasanya dalam situasi seperti itu,fear
Saya biasanya merespons ketika saya merasa tersinggung,anger
Saya memakai dan merasa percaya diri tentang diri saya sendiri,joy
Saya merasa seperti saya sama takutnya sekarang seperti ketika saya pertama kali melemparkan kaki saya ke atas tabung setelah operasi saya,fear
Saya merasa tidak terlindungi jika saya melakukannya,fear
Saya merasa artistik hari ini,joy
Saya mengaku merasa sedikit gugup sekarang meskipun ada beberapa orang yang sangat berbakat dalam grup,fear
Saya berhasil makan lebih banyak dari biasanya pada hari lomba sebagian besar karena Jon ada di sana dan saya tidak merasa gugup,fear
Saya belum pernah membaca posting saya tidak akan pernah menghabiskan energi emosional dan mental untuk berdebat dengan mereka di kepala saya atau merasa kesal oleh mereka,anger
Saya merasa tertekan kadang -kadang untuk menyerah pada ketakutan dan rasa tidak aman tetapi untungnya saya masih bisa menahannya sendiri,fear
Saya merasakan kekuatan saya adalah bahwa saya sangat bertekad termotivasi di ruang latihan,joy
Saya merasa ragu tentang mimpi tulisan saya untuk mengetahui dia di belakangku,fear
Saya merasa sangat marah sehingga saya ingin memukulnya tetapi saya tidak karena dia baru berusia bertahun -tahun,anger
Saya masuk ke apa yang sebenarnya saya rasa saya harus membelinya hanya karena baunya luar biasa,joy
Saya pikir semakin cepat kita melakukan lebih baik dengan baik semua merasa greg im sudah berada dalam suasana hati yang tertekan,fear
Aku sangat bersemangat tapi merasa agak malu tentang itu senyum,fear
"Saya memakainya, saya merasa cemas dengan sorotan yang berbeda dengan malu -malu malu malu dan paranoid",fear
Saya merasa seperti saya kembali ke pelukan orang yang dicintai terakhir kali dilihat,joy
Saya merasa puas dan senang dengan pilihan saya hari ini,joy
Saya berjalan pergi dengan perasaan terinspirasi dan bersemangat tentang hal -hal realistis yang bisa saya lakukan untuk meningkatkan peluang blog saya untuk ditemukan,joy
Saya merasa bingung dengan hidup saya dan ingin tahu mengapa hidup saya,fear
Saya melihat sekeliling dan sekali lagi kecewa karena begitu sedikit yang muncul malam ini tetapi ternyata ini adalah hari saya untuk merasa egois,anger
Saya merasa dan saya bilang tidak sabar,anger
Saya merasa sangat enggan membuat blog selama periode gratis saya bahkan ketika HP saya terhubung ke laptop saya untuk mengisi daya sehingga mudah untuk mengunggah foto secara online,fear
Saya selalu memperhatikan meskipun dia luar biasa menyembunyikannya sesuai dengan seluruh dunia dan merasakannya dengan tajam dan sangat tertekan,fear
Saya mendapat jahitan di sisi saya selama mil pertama tidak bisa merasakan kaki saya begitu dingin dll,anger
Saya merasa tidak nyaman ketika saya perlu duduk melalui presentasi yang buruk,fear
Saya merasa ada opsi lain yang tidak sekeras mungkin lebih mahal namun sama -sama sia -sia jadi apa masalahnya dengan menjaga pria dan wanita kita keluar dari cara bahaya,anger
ive dikumpulkan karena saya merasa penting untuk menciptakan sesuatu yang berharga dari barang -barang itu sebagai penghargaan ke bumi dan kedermawanan kekuatannya,joy
Saya merasa seolah -olah saya kacau musim panas ini sehingga saya dilemparkan ke alam semesta alternatif sehingga saya salah cara yang salah pada garis waktu dan saya terjebak di dunia yang sama seperti yang saya tahu dalam semua kecuali satu cara,anger
Saya teman -teman membantu mereka berpakaian dan berlatih sesi perkenalan Thailand mereka sementara saya duduk di sana merasa tidak berdaya,fear
Saya merasa tidak berdaya karena saya tidak bisa menghentikannya,fear
Saya sudah merasa jijik tetapi serius meskipun saya tidak terlalu suka foto saya diambil karena saya selalu menyebut diri saya sebagai jelek,anger
Saya merasa sangat marah,anger
Saya merasa sangat berbudi luhur hari ini,joy
Saya hanya merasa sangat baik di dalam ketika saya melihat orang -orang berjalan pergi dengan potongan buatan tangan mereka sendiri,joy
Saya pergi menemui PCM saya di pos untuk janji tindak lanjut dan saya pergi dengan perasaan penuh harapan dan optimis,joy
"Saya berharap bahwa gadis yang dia minta untuk prom telah menerima undangannya dengan cara itu, saya bisa patah hati dan melakukannya dengan perasaan saya untuknya, tetapi sekarang saya tidak ragu -ragu",fear
"Aku masih merasa sangat lemah, mungkin saja melompat -lompat",fear
Saya tidak merasa aman di kamar saya karena argumennya sedang terjadi di kamar saya dan segalanya menjadi kasar,joy
Saya tidak merasa kesal tentang mengambil mainan itu,anger
Aku merasa sangat kesal dan adil,anger
Saya melompat pada skala pagi ini dengan perasaan tidak terlalu optimis,joy
Saya menghargai penghargaan yang saya rasa ada begitu banyak blog indah di luar sana sehingga kita semua adalah pemenang,joy
"Saya ingin tidak merasa malu dengan mereka, saya ingin bersenang -senang dengan mereka",fear
Saya seharusnya meninggalkan film ini dengan perasaan takut atau paling tidak yakin bahwa jumlah ini memiliki semacam kekuatan mistis atau merupakan kunci dari beberapa konspirasi pemerintah tetapi tidak,fear
Saya selalu merasa saya selalu mengerti bahwa orang -orang yang paling penuh kebencian dan berbahaya terhadap saya melukai diri sendiri dan diajarkan secara salah dan saya menyakiti mereka karena saya ingin kembali dan membatalkan rasa sakit dan kefanatikan masa kecil yang mengikat kehidupan mereka ke jalan ini,anger
Saya merasa sangat senang dengan diri saya sendiri dan saya memutuskan untuk memberi orang itu rupee lagi,joy
Saya merasa disiksa setiap saat dan tidak ada tempat saya bisa pergi untuk menjauh dari itu atau untuk kembali ke apa yang biasa saya lakukan,anger
Saya merasa berani ini akan menyenangkan dengan tips hitam,joy
Saya tahu siapa yang berpikir seperti ini sehingga saya selalu merasa skeptis tentang melukis kuku saya merah karena saya juga memiliki kulit ringan sehingga merah benar -benar akan menonjol adalah ada cara yang lucu untuk anak berusia satu tahun untuk memakai kuku merah tanpa terlihat seperti dia s berusaha terlalu keras atau terlihat seperti pelacur,fear
Di lingkungan A adalah seorang pasien epilepsi yang dibakar seluruh tubuh dan sangat bau sehingga seluruh lingkungan terpengaruh beberapa orang bisa mendekatinya,anger
"Saya telah menjadi terbiasa dengan kebebasan kreatif untuk hidup sendiri, saya bisa menari di sekitar rumah saya dan menulis lagu dan bermain gitar tanpa merasa terhambat oleh mata dan telinga orang lain",fear
"Saya adalah perasaan yang sangat positif, energi ilahi yang sendirian dapat membawa perahu kami yang gemetar ke pantai",joy
Saya merasa dalam jangka panjang ini menyakitkan Paulie karena Anda bisa melihat betapa bingungnya dia dengan hasil dan persepsi penampilannya,fear
Saya juga tidak keberatan dengan Canon D Mark III jika ada yang merasa murah hati,joy
Saya bertanya -tanya bagaimana perasaan Genentech tentang pengambilalihan yang bermusuhan oleh mitra globalnya,anger
"Saya merasa bahwa ketika saya menjalankan saya, itu adalah saya Sarah the Mind saya mendukung tubuh ini",joy
Saya merasa sangat tidak sabar bahwa ini memakan waktu lama,anger
Saya merasa sangat rakus menginginkan semua hal ini tetapi ibu saya meminta saya untuk membuat daftar,anger
Saya merasa populer tetapi mereka tidak ingin diajari dan mereka tidak akan menikah sebelum dibaptis sehingga mereka tidak bisa jelas,joy
"Aku tidak membencimu, sejujurnya aku merasa sangat pahit terhadapmu atm",anger
Saya tidak terlalu banyak bicara tentang hal itu karena bekerja dengan baik tetapi tidak terasa seperti itu sesuatu yang sangat pintar atau baru,joy
Terkadang saya merasa dibenci tetapi saya tidak semuanya ada di kepala saya,anger
Saya merasa sangat cemas dan kewalahan seperti yang dicatat oleh teman yang benar mungkin karena saya berada di atas kapal dengan nenek ibu saya dan bibi yang hebat dan tidak ada tempat untuk melarikan diri kecuali laut Baltik yang dingin,fear
Saya merasa seperti saya butuh gambar lucu untuk dibagikan,joy
Saya bangun dengan perasaan menang,joy
Saya merasa sulit untuk merasa periang ketika kerumunan orang di sekitar saya begitu tersesat dalam semangat mendapatkan barang -barang sehingga mereka tidak dapat melihat hati mereka untuk hijau di dompet mereka yang didorong oleh rentetan dan tekanan yang konstan dari setiap sudut untuk berbelanja di sini dan membeli lebih banyak,joy
Saya merasa sangat bingung dan bla,fear
Saya merasa dari matanya bahwa dia tulus,joy
Saya bisa memikirkannya adalah betapa kesepian yang saya rasakan saya kesal dan gelisah dan esilitas airritasi,anger
ive memutuskan untuk dengan sengaja membuatnya lebih mudah pada diri saya sendiri meskipun itu membuat saya merasa lemah mengakui bahwa itu alasannya tetapi gadis ini harus bekerja sehari -hari,fear
Saya menonton film berjudul Sharknado Saya merasa kecerdasan saya sedang dihina,anger
Saya merasa khawatir tentang langkah ini dan khawatir saya telah meniup semua uang saya yang dimaksudkan untuk membayar rego saya,fear
Saya masih merasa seperti berjalan -jalan di mana -mana tapi saya sudah mencoba,joy
"Saya mengatakan kepadanya bahwa kita tidak dapat melanjutkan hal ini dan ketika dia mulai merasa frustrasi, dia harus memberi tahu saya dengan cara yang tenang",anger
Saya merasa bahwa anak -anak itu kurang beruntung kehilangan semua hiburan menarik di rumah untuk anak -anak tetapi sekarang saya merasa seperti mereka memiliki kesempatan berharga untuk menjadi dekat dan akrab dengan alam,joy
Saya mampu melakukan hal yang sama seperti akhir -akhir ini saya merasa sangat pahit dan tertekan dan tidak banyak rasa terima kasih secara umum,anger
Saya bisa merasakan kegembiraan dan kegembiraan mereka untuk kesempatan menerima tata cara vital ini,joy
Saya khawatir tentang semua waktu yang saya keluarkan di komputer dan tentang bagaimana perasaan saya begitu terganggu oleh pesta,anger
Saya merasa seperti saya tidak bisa berani,joy
Saya berharap saya bisa membatalkan pernikahan supaya saya bisa merasa riang lagi,joy
Saya tidak merasa takut sama sekali,fear
Saya merasa sangat puas hanya mendengarkan lagunya,joy
Saya tidak tahu siapa yang saya suka saya rasakan begitu menyebalkan dan genit,anger
ive memiliki perasaan mendesak untuk menulis kepada Anda dan memberi tahu Anda bagaimana file membuat saya merasa tetapi merasa ragu -ragu karena ketakutan ke mana itu akan menuntun saya,fear
"Saya mulai mengembangkan perasaan untuk Anda, mereka membuat saya takut dan saya ketakutan tetapi Anda berjanji kepada saya bahwa saya aman",fear
Saya kira menghindari percakapan batasan dengannya membuat saya merasa sedikit tidak yakin tentang kepercayaan diri dan kekuatan saya,fear
Aku sangat lelah dan aku merasa sedikit kesal,anger
Saya merasa sesuatu yang saya tidak yakin,joy
Saya merasa tidak sopan untuk meraih kursi di sebelah saya,anger
Saya sedang merenungkan dan merasa skeptis,fear
Saya merasa kesal dan putus asa,anger
Saya tidak merasa peduli tentang hal itu mendapatkan kredit sama dengan mendapatkan hutang dan saya tidak tertarik untuk melakukannya lagi,anger
"Saya menyakiti perasaan Anda atau membuat Anda marah dengan kata -kata kasar terakhir saya, maafkan saya",anger
